name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,uri,duration_ms
Dive,The Soft Cavalry,The Soft Cavalry,5TvkWUGywzfVF5HQ9uySVF,2019-07-05,0.0,255384.0,0.434,0.0418,0.531,0.00021,0.0941,0.0935,-10.05,0.0305,156.155,2.0,4.0,sad,,
Dolerme,Dolerme,ROSALÍA,2reL9PAUza4PUtbjqW1fRf,2020-03-24,68.0,143975.0,0.545,0.785,0.478,0.00278,0.123,0.318,-7.035,0.0559,173.74599999999995,8.0,4.0,sad,,
Don't Stop,Rumours,Fleetwood Mac,4SXU3lUZ1eb4JWWbkQw43Y,1977-02-04,0.0,192133.0,0.6859999999999999,0.0398,0.632,2.2e-06,0.0686,0.88,-11.433,0.0353,118.965,9.0,4.0,happy,,
Don't Stop Me Now - 2011 Mix,Jazz (Deluxe Remastered Version),Queen,7hQJA50XrCWABAu5v6QZ4i,1978-11-10,74.0,209413.0,0.563,0.0472,0.865,0.000191,0.77,0.601,-5.277,0.16,156.27100000000004,5.0,4.0,happy,,
Don't You (Forget About Me) - Remastered,Celebrate (Greatest Hits),Simple Minds,0A4PZuepTcIQVvA5m7R0M1,2013-03-25,11.0,263973.0,0.602,0.00398,0.784,0.0852,0.0931,0.918,-7.976,0.0313,133.019,11.0,4.0,happy,,
Don’t Delete The Kisses,Visions Of A Life,Wolf Alice,1LomCMl5wD3MPVlC6smUHe,2017-09-29,59.0,275226.0,0.604,0.0011,0.789,0.828,0.368,0.348,-6.259,0.0273,122.032,5.0,4.0,sad,,
Down On The Corner,Willy And The Poor Boys (40th Anniversary Edition),Creedence Clearwater Revival,4YMLW13PuuO7o3jkIWlKAs,1969-11-02,0.0,166280.0,0.831,0.594,0.544,0.00389,0.0736,0.856,-9.288,0.0837,108.177,0.0,4.0,happy,,
Dreams Tonite,Antisocialites,Alvvays,0DRvClQbN9znQ295sx76VC,2017-09-08,62.0,196026.0,0.511,0.0108,0.622,4.51e-06,0.127,0.425,-5.727,0.0242,99.934,2.0,4.0,sad,,
Drifting,Drifting,Eroded Sky,157kvk58Qr04AiuDv2aQWd,2020-04-23,56.0,194571.0,0.616,0.71,0.202,0.6779999999999999,0.0871,0.0773,-14.144,0.0383,139.857,11.0,4.0,calm,,
Driver's Seat,Fickle Heart (Plus Two Bonus Cuts),Sniff 'n' The Tears,0fJFBbpUxTwjhh1ScBQjeX,1978,56.0,240746.0,0.754,0.0186,0.804,0.0604,0.207,0.972,-7.189,0.0368,132.967,11.0,4.0,happy,,
Dust On The Ground,Flaws,Bombay Bicycle Club,2SbIONplUQ0BvXyRgGDgCz,2010-01-01,0.0,243752.0,0.605,0.757,0.319,0.00237,0.116,0.273,-10.892,0.0306,109.603,10.0,4.0,sad,,
